package	name	class_rh
a.juboyi.com	9177	PDL
cn.baifuwallet	猫猫钱包	PDL
cn.caiduoduo	财多多	PDL
cn.chenyiqiangui	哈呀贷	PDL
cn.feifeiwallet	天天钱包	PDL
cn.feizhushidai	飞猪时代	PDL
cn.huajinbao	花金宝	PDL
cn.hualebei	花了呗	PDL
cn.huasudai	花速贷	PDL
cn.jieyidian	借易点	PDL
cn.jingangjieqian	金刚借钱	PDL
cn.jinqianbao	无忧达人	PDL
cn.jinshabao	金沙宝	PDL
cn.kuaixiangjin	快享金	PDL
cn.laidekuai	懒猫	PDL
cn.lalabao	拉拉宝	PDL
cn.leishendai	雷神贷	PDL
cn.lianxin	花赢宝	PDL
cn.liuxingbao	流星宝	PDL
cn.mengniushidai	萌牛时代	PDL
cn.mirenhua	迷人花	PDL
cn.moguqianbao	蘑菇钱包	PDL
cn.pettywallet	易管家	PDL
cn.tianmaobaika	天猫白卡	PDL
cn.wanlianggui	万两柜	PDL
cn.wanshunqianbao	万顺钱包	PDL
cn.xiaomishidai	小米时代	PDL
cn.xiaotianyijie	花有道	PDL
cn.xingxingdiandeng	猪猪贷	PDL
cn.yipinhua	易朵花	PDL
cn.yuanbaoshidai	元宝时代	PDL
cn.yy.renren	人人信用	PDL
cn.zhimazhiao	芝麻至奥	PDL
com.ahxbapp.jckd	久昌快贷	PDL
com.ahxbapp.zgsd	榛果速贷	PDL
com.aodong.ceyidai	大唐贷	PDL
com.aodong.microfinance	三秒贷	PDL
com.aodong.yaoqianshu	瑶钱树	PDL
com.aodong.youxuandai	无价宝	PDL
com.app.finance.afd	万贯街贷款	PDL
com.bstwl.xiangqianjin	享钱进	PDL
com.cbwl.jinchanqianguan	金蟾钱罐	PDL
com.cfwl.tuotuohua	顺手花	PDL
com.chsyb.loan	闪银宝	PDL
com.chuanghui.taomiba	紫竹	PDL
com.chuanqi.chuanqi666	鸡毛信借款	PDL
com.cmgd.lingqianzaixian	零钱在线	PDL
com.cunxy.cashloan	存信誉plus	PDL
com.dai.xingyue	星月宝	PDL
com.daiqile.shidaiqianbao	时贷钱包	PDL
com.daiqile.xinxianjindai	鼎力钱包	PDL
com.dayuqianbao	大鱼钱包	PDL
com.dinghao.daidaibao	代代宝	PDL
com.dywl.huashengqiandai	花生钱袋	PDL
com.example.asus.jinyinqianbao	金银钱包	PDL
com.example.asus.minyidai	闽易贷	PDL
com.fen360.zhourunhua	周润花	PDL
com.fengdi.qiandaxia	钱大侠	PDL
com.gamebox_idtkown	拍拍口袋	PDL
com.gejianbo.mimijie	米米借	PDL
com.guanchu.quanguowallet	全国钱包	PDL
com.haoguan.yrqb	永润钱包	PDL
com.haohaonet.huangjinye	黄金叶	PDL
com.hdzc.yilingqian	壹零钱	PDL
com.hs.tjb	快乐淘	PDL
com.hs.xjd	钱到手	PDL
